time,lat,long,accuracy,lat2,long2,accuracy2,type_of_disconnect,time_taken_to_regain,prev_bssid,new_bssid,prev_ip,new_ip
1507694195377,-33.91726849,151.22673246,14.0,-33.91726849,151.22673246,19.0,L3,1993,1c:e6:c7:f0:20:11,58:97:1e:56:55:47,10.249.53.116,10.249.53.116
1507694196080,-33.91726911,151.22673236,6.0,-33.9175406,151.2266258,21.289,L4,14005,58:97:1e:56:55:47,58:97:1e:56:55:47,10.249.53.116,10.249.53.116
1507694327228,-33.91758595,151.22719924,8.0,-33.91762088,151.22717839,9.0,L4,1683,08:cc:68:b4:b0:3f,d0:72:dc:53:5e:af,10.249.53.116,10.249.53.116
1507694354168,-33.9178112,151.22716944,5.0,-33.91787887,151.22724023,4.0,L4,3930,d0:72:dc:53:5e:af,d0:72:dc:53:5e:af,10.249.53.116,10.249.53.116
1507694358639,-33.91789923,151.22727775,4.0,-33.91791002,151.22729995,4.0,L4,2416,d0:72:dc:53:5e:af,d0:72:dc:53:5e:af,10.249.53.116,10.249.53.116
1507694362371,-33.9179346,151.22734371,3.0,-33.9179346,151.22734371,3.0,L4,1660,d0:72:dc:53:5e:af,08:cc:68:b4:af:4f,10.249.53.116,10.249.53.116
1507694367690,-33.91795429,151.22737603,3.0,-33.91798221,151.22738403,3.0,L4,2759,08:cc:68:b4:af:4f,08:cc:68:b4:af:4f,10.249.53.116,10.249.53.116
1507694556103,-33.91879717,151.22847473,3.0,-33.91878334,151.22849684,3.0,L4,1809,08:cc:68:b4:af:4f,7c:0e:ce:dc:5d:0e,10.249.53.116,10.249.53.116
1507694615784,-33.91822815,151.22865325,3.0,-33.91820994,151.22864629,3.0,L4,1633,7c:0e:ce:dc:5d:0e,08:cc:68:b4:af:4f,10.249.53.116,10.249.53.116
1507694690228,-33.91769081,151.22895856,3.0,-33.91766815,151.22895851,3.0,L3,1748,08:cc:68:b4:af:4f,1c:e6:c7:3e:db:76,10.249.53.116,10.249.53.116
1507694695772,-33.91802098,151.22859184,3.0,-33.91761287,151.2289478,4.0,L4,59936,1c:e6:c7:3e:db:76,1c:e6:c7:3e:db:76,10.249.53.116,10.249.53.116
1507694735385,-33.91747886,151.22901235,18.0,-33.9174152,151.2290394,21.326,L4,6242,1c:e6:c7:3e:db:76,08:cc:68:b4:9c:0e,10.249.53.116,10.249.53.116
