time,lat,long,AdjustedStrength,strength
1.50769E+12,-33.91737242,151.2266735,50,-78
1.50769E+12,-33.91729581,151.2266899,50,-78
1.50769E+12,-33.91726871,151.2267338,49,-79
1.50769E+12,-33.91726911,151.2267324,47,-81
1.50769E+12,-33.91726755,151.2267332,47,-81
1.50769E+12,-33.91726849,151.2267325,1,-127
1.50769E+12,-33.91731118,151.2269418,47,-81
1.50769E+12,-33.91748348,151.2269392,40,-88
1.50769E+12,-33.91749258,151.2269615,40,-88
1.50769E+12,-33.91757629,151.2269421,66,-62
1.50769E+12,-33.91757471,151.2269442,66,-62
1.50769E+12,-33.91757614,151.2269435,63,-65
1.50769E+12,-33.91757737,151.2269433,68,-60
1.50769E+12,-33.91757813,151.2269437,66,-62
1.50769E+12,-33.91757827,151.226944,61,-67
1.50769E+12,-33.91757711,151.2269443,63,-65
1.50769E+12,-33.91757742,151.2269437,62,-66
1.50769E+12,-33.91760446,151.2269495,63,-65
1.50769E+12,-33.91762654,151.2270141,70,-58
1.50769E+12,-33.91762028,151.2270752,72,-56
1.50769E+12,-33.91757156,151.2271564,70,-58
1.50769E+12,-33.91757004,151.227187,68,-60
1.50769E+12,-33.91758607,151.2271824,62,-66
1.50769E+12,-33.91758595,151.2271992,62,-66
1.50769E+12,-33.91762088,151.2271784,56,-72
1.50769E+12,-33.91764883,151.2271625,56,-72
1.50769E+12,-33.91766818,151.227159,54,-74
1.50769E+12,-33.91770216,151.2271757,50,-78
1.50769E+12,-33.91772562,151.227172,46,-82
1.50769E+12,-33.91774448,151.2271832,46,-82
1.50769E+12,-33.91775758,151.2271476,43,-85
1.50769E+12,-33.9178112,151.2271694,40,-88
1.50769E+12,-33.91787887,151.2272402,41,-87
1.50769E+12,-33.91791002,151.2273,41,-87
1.50769E+12,-33.91792681,151.2273196,41,-87
1.50769E+12,-33.91794435,151.2273613,63,-65
1.50769E+12,-33.91798221,151.227384,54,-74
1.50769E+12,-33.91802969,151.2273663,51,-77
1.50769E+12,-33.91805247,151.2273525,51,-77
1.50769E+12,-33.91806576,151.2273416,50,-78
1.50769E+12,-33.91810304,151.2273078,51,-77
1.50769E+12,-33.91812835,151.2272818,49,-79
1.50769E+12,-33.91814779,151.227277,49,-79
1.50769E+12,-33.91818711,151.2272602,46,-82
1.50769E+12,-33.9182106,151.2272569,47,-81
1.50769E+12,-33.91825699,151.2272486,45,-83
1.50769E+12,-33.91829925,151.2272541,49,-79
1.50769E+12,-33.91834141,151.2272626,48,-80
1.50769E+12,-33.91836374,151.227266,50,-78
1.50769E+12,-33.91840953,151.2272771,48,-80
1.50769E+12,-33.91846741,151.2272881,47,-81
1.50769E+12,-33.91850881,151.2273046,43,-85
1.50769E+12,-33.91856063,151.2273142,45,-83
1.50769E+12,-33.91858849,151.2273208,43,-85
1.50769E+12,-33.91864366,151.227344,42,-86
1.50769E+12,-33.91868102,151.2273716,44,-84
1.50769E+12,-33.91872228,151.2274091,42,-86
1.50769E+12,-33.91875961,151.2274272,44,-84
1.50769E+12,-33.9187724,151.2274393,51,-77
1.50769E+12,-33.91880353,151.2274433,47,-81
1.50769E+12,-33.91884984,151.227486,42,-86
1.50769E+12,-33.91887379,151.2275236,50,-78
1.50769E+12,-33.91889288,151.2275695,53,-75
1.50769E+12,-33.91891464,151.2276176,48,-80
1.50769E+12,-33.91892692,151.2276688,54,-74
1.50769E+12,-33.9189575,151.2277395,54,-74
1.50769E+12,-33.91897274,151.2277857,48,-80
1.50769E+12,-33.91898584,151.2278494,57,-71
1.50769E+12,-33.91898494,151.2278944,47,-81
1.50769E+12,-33.91899158,151.2279651,55,-73
1.50769E+12,-33.91898517,151.2280145,52,-76
1.50769E+12,-33.91897364,151.2280591,58,-70
1.50769E+12,-33.91896887,151.2280679,58,-70
1.50769E+12,-33.91895895,151.2281137,58,-70
1.50769E+12,-33.91894836,151.2281826,58,-70
1.50769E+12,-33.91893423,151.2282255,58,-70
1.50769E+12,-33.91892252,151.2282945,58,-70
1.50769E+12,-33.91890901,151.2283123,58,-70
1.50769E+12,-33.91887693,151.2283561,58,-70
1.50769E+12,-33.91885342,151.2283913,58,-70
1.50769E+12,-33.91884894,151.2284098,58,-70
1.50769E+12,-33.918839,151.2284275,58,-70
1.50769E+12,-33.91882306,151.2284466,58,-70
1.50769E+12,-33.91879717,151.2284747,58,-70
1.50769E+12,-33.91876879,151.2285124,58,-70
1.50769E+12,-33.91873807,151.2285395,58,-70
1.50769E+12,-33.91871022,151.2285635,58,-70
1.50769E+12,-33.91869497,151.2285822,58,-70
1.50769E+12,-33.91865683,151.2286137,58,-70
1.50769E+12,-33.91861022,151.2286326,58,-70
1.50769E+12,-33.91858799,151.2286454,58,-70
1.50769E+12,-33.91854986,151.2286619,58,-70
1.50769E+12,-33.91850665,151.2286693,58,-70
1.50769E+12,-33.9184884,151.2286769,58,-70
1.50769E+12,-33.91844614,151.2286876,58,-70
1.50769E+12,-33.91840577,151.2286947,58,-70
1.50769E+12,-33.91838519,151.2287029,58,-70
1.50769E+12,-33.91831918,151.2286908,58,-70
1.50769E+12,-33.91826988,151.2286625,58,-70
1.50769E+12,-33.91822815,151.2286533,58,-70
1.50769E+12,-33.9181688,151.2286269,58,-70
1.50769E+12,-33.91813334,151.2286182,58,-70
1.50769E+12,-33.91807519,151.2285905,58,-70
1.50769E+12,-33.9180357,151.2285763,58,-70
1.50769E+12,-33.91799379,151.2286259,58,-70
1.50769E+12,-33.91780776,151.2289237,1,-127
1.50769E+12,-33.91778694,151.2289343,1,-127
1.50769E+12,-33.91773814,151.2289501,1,-127
1.50769E+12,-33.91763902,151.2289595,60,-68
1.50769E+12,-33.91758789,151.2289421,60,-68
1.50769E+12,-33.9175402,151.2289419,60,-68
1.50769E+12,-33.91749687,151.2289519,60,-68
1.50769E+12,-33.91747758,151.2289694,60,-68
1.50769E+12,-33.91747198,151.2289802,60,-68
1.50769E+12,-33.91747154,151.2289774,60,-68
1.50769E+12,-33.91747234,151.2290025,60,-68
1.50769E+12,-33.91747974,151.2290125,50,-78
1.50769E+12,-33.91747886,151.2290124,50,-78
1.50769E+12,-33.91701547,151.2290276,58,-70
1.50769E+12,-33.91700692,151.2290487,44,-84
1.50769E+12,-33.91703365,151.2290551,48,-80
1.50769E+12,-33.91697443,151.2291078,49,-79
1.50769E+12,-33.91695241,151.2291368,42,-86
1.50769E+12,-33.91692171,151.2291625,43,-85
1.50769E+12,-33.91691187,151.2291811,43,-85
1.50769E+12,-33.91690718,151.2291981,48,-80
1.50769E+12,-33.91689434,151.2292082,48,-80
1.50769E+12,-33.91689473,151.2292122,48,-80
1.50769E+12,-33.91689589,151.2292108,48,-80
1.50769E+12,-33.91689515,151.2292115,49,-79
1.50769E+12,-33.91689471,151.2292125,53,-75
1.50769E+12,-33.91689189,151.229215,54,-74
1.50769E+12,-33.91689062,151.2292161,54,-74
