time,lat,long,accuracy,num_uniwide_aps,strength,protocol,speed,freq,bssid,ip
1507694167753,-33.91737242,151.22667354,7.0,21,-78,g (OFDM),19,2.0,1c:e6:c7:f0:20:11,10.249.53.116
1507694175321,-33.91729581,151.22668994,9.0,18,-78,g (OFDM),39,2.0,1c:e6:c7:f0:20:11,10.249.53.116
1507694179407,-33.91726871,151.22673384,6.0,28,-79,g (OFDM),39,2.0,1c:e6:c7:f0:20:11,10.249.53.116
1507694183358,-33.91726911,151.22673236,6.0,37,-81,g (OFDM),26,2.0,1c:e6:c7:f0:20:11,10.249.53.116
1507694187331,-33.91726755,151.2267332,8.0,46,-81,g (OFDM),26,2.0,1c:e6:c7:f0:20:11,10.249.53.116
1507694190599,-33.91726849,151.22673246,12.0,49,-127,b (DSSS),-1,0.0,00:00:00:00:00:00,
1507694262145,-33.91731118,151.22694176,9.0,23,-81,n (MIMO-OFDM),162,5.0,08:cc:68:b4:b0:3f,10.249.53.116
1507694266640,-33.91748348,151.22693915,8.0,23,-88,n (MIMO-OFDM),108,5.0,08:cc:68:b4:b0:3f,10.249.53.116
1507694266784,-33.91749258,151.22696148,7.0,23,-88,n (MIMO-OFDM),108,5.0,08:cc:68:b4:b0:3f,10.249.53.116
1507694272115,-33.91757629,151.22694208,7.0,20,-62,n (MIMO-OFDM),243,5.0,d0:72:dc:53:5e:af,10.249.53.116
1507694276067,-33.91757471,151.22694423,6.0,31,-62,n (MIMO-OFDM),216,5.0,d0:72:dc:53:5e:af,10.249.53.116
1507694280143,-33.91757614,151.22694349,7.0,31,-65,n (MIMO-OFDM),270,5.0,d0:72:dc:53:5e:af,10.249.53.116
1507694284183,-33.91757737,151.22694334,7.0,29,-60,n (MIMO-OFDM),243,5.0,d0:72:dc:53:5e:af,10.249.53.116
1507694288171,-33.91757813,151.22694366,7.0,31,-62,n (MIMO-OFDM),216,5.0,d0:72:dc:53:5e:af,10.249.53.116
