time,lat,long,accuracy,num_uniwide_aps,strength,protocol,speed,freq,bssid,ip
1507692295952,-33.91973357,151.22938165,4.0,3,-81,n (MIMO-OFDM),81,5.0,f0:9e:63:14:ab:ee,10.249.53.116
1507692299032,-33.91974044,151.22940264,3.0,3,-86,g (OFDM),54,5.0,f0:9e:63:14:ab:ee,10.249.53.116
1507692302999,-33.91973951,151.22945795,3.0,4,-92,g (OFDM),13,5.0,f0:9e:63:14:ab:ee,10.249.53.116
1507692306978,-33.91974901,151.2295111,3.0,2,-92,g (OFDM),13,5.0,f0:9e:63:14:ab:ee,10.249.53.116
1507692307779,-33.91975485,151.22953852,4.0,2,-92,g (OFDM),13,5.0,f0:9e:63:14:ab:ee,10.249.53.116
1507692344973,-33.91980295,151.22997068,3.0,3,-88,g (OFDM),54,5.0,1c:e6:c7:f0:25:46,10.249.53.116
1507692348876,-33.9198255,151.23001259,3.0,5,-90,g (OFDM),54,5.0,1c:e6:c7:f0:25:46,10.249.53.116
1507692352904,-33.91984013,151.23006062,3.0,4,-90,g (OFDM),54,5.0,1c:e6:c7:f0:25:46,10.249.53.116
1507692357016,-33.91983669,151.23011996,3.0,4,-90,g (OFDM),54,5.0,1c:e6:c7:f0:25:46,10.249.53.116
1507692358746,-33.91984296,151.2301462,3.0,5,-127,b (DSSS),-1,0.0,00:00:00:00:00:00,
1507692377704,-33.91987244,151.2303858,4.0,3,-127,b (DSSS),-1,0.0,null,
1507692381238,-33.919878,151.23041353,4.0,8,-127,b (DSSS),-1,0.0,null,
1507692385322,-33.91989708,151.23046589,4.0,7,-127,b (DSSS),-1,0.0,null,
1507692389256,-33.9199264,151.23052427,4.0,2,-127,b (DSSS),-1,0.0,null,
1507692393249,-33.91990247,151.23057378,4.0,4,-127,b (DSSS),-1,0.0,00:00:00:00:00:00,
1507692401425,-33.91981192,151.23059805,5.0,7,-79,g (OFDM),19,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692405501,-33.91977048,151.23063599,4.0,10,-77,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692409471,-33.91973249,151.23064435,4.0,8,-77,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692413467,-33.91970663,151.23066614,4.0,6,-74,g (OFDM),52,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692417596,-33.91967106,151.23068667,5.0,7,-72,g (OFDM),52,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692421553,-33.91963292,151.23072663,6.0,10,-75,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692425426,-33.91958027,151.23073579,5.0,13,-76,g (OFDM),52,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692429449,-33.91954319,151.23073865,6.0,16,-81,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692433565,-33.91949665,151.23073133,5.0,14,-83,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692437590,-33.91943552,151.23071665,5.0,10,-85,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692441654,-33.91940088,151.2307268,4.0,7,-87,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692445570,-33.91936736,151.23072699,4.0,7,-86,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692449561,-33.91932726,151.23074237,5.0,10,-90,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692453548,-33.9192438,151.23074538,5.0,11,-89,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692457577,-33.91917821,151.23075779,4.0,12,-89,g (OFDM),26,2.0,1c:e6:c7:5b:15:31,10.249.53.116
1507692461451,-33.91912703,151.23076573,4.0,19,-127,b (DSSS),-1,0.0,00:00:00:00:00:00,
1507692471095,-33.91902449,151.23076622,4.0,15,-85,ac (MIMO-OFDM),324,5.0,08:cc:68:b4:98:5a,10.249.53.116
1507692475528,-33.91897733,151.23077414,3.0,22,-85,ac (MIMO-OFDM),324,5.0,08:cc:68:b4:98:5a,10.249.53.116
1507692479205,-33.91893233,151.23078899,4.0,18,-127,b (DSSS),-1,0.0,00:00:00:00:00:00,
1507692487081,-33.91885284,151.23080842,3.0,10,-65,n (MIMO-OFDM),81,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692491162,-33.91880967,151.23082569,3.0,16,-69,n (MIMO-OFDM),81,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692495224,-33.91876922,151.23083078,3.0,17,-68,n (MIMO-OFDM),81,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692499287,-33.91871282,151.23082944,3.0,15,-54,n (MIMO-OFDM),81,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692503413,-33.91866083,151.23082682,3.0,16,-54,n (MIMO-OFDM),162,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692507287,-33.91862156,151.2308346,3.0,16,-56,n (MIMO-OFDM),162,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692511163,-33.91858736,151.23084046,3.0,16,-71,n (MIMO-OFDM),162,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692515206,-33.91854918,151.23085243,3.0,20,-62,n (MIMO-OFDM),162,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692519153,-33.91850727,151.23086246,3.0,18,-71,n (MIMO-OFDM),162,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692523204,-33.91846038,151.23086077,3.0,13,-71,n (MIMO-OFDM),162,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692527225,-33.91841387,151.23087179,4.0,15,-78,n (MIMO-OFDM),108,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692531194,-33.91836421,151.23087495,3.0,17,-74,n (MIMO-OFDM),108,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692532292,-33.91834004,151.23088424,3.0,21,-74,n (MIMO-OFDM),108,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692537327,-33.91828222,151.2309094,3.0,22,-82,g (OFDM),54,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692541178,-33.91822694,151.23091258,3.0,31,-81,g (OFDM),40,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692545348,-33.91817891,151.23091625,3.0,32,-85,g (OFDM),40,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692549353,-33.91814764,151.23092887,3.0,36,-84,g (OFDM),40,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692553446,-33.9181272,151.23091909,3.0,45,-85,g (OFDM),40,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692557415,-33.91810516,151.23094251,3.0,48,-85,g (OFDM),13,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692561377,-33.91806496,151.23095002,4.0,40,-83,g (OFDM),13,5.0,08:cc:68:b5:86:8e,10.249.53.116
1507692565391,-33.9180135,151.23094505,3.0,38,-83,g (OFDM),13,5.0,08:cc:68:b5:86:8e,10.249.53.116
