time,lat,long,accuracy,lat2,long2,accuracy2,type_of_disconnect,time_taken_to_regain,prev_bssid,new_bssid,prev_ip,new_ip
1507691502634,-33.9171715,151.2279237,21.299,-33.91768668,151.22971141,3.0,L4,173923,84:78:ac:c0:52:a7,f8:c2:88:bd:f1:de,10.249.53.116,10.249.53.116
1507691521845,-33.91771842,151.2299352,3.0,-33.91773091,151.2299543,4.0,L4,2099,f8:c2:88:bd:f1:de,f8:c2:88:bd:f1:de,10.249.53.116,10.249.53.116
1507691562481,-33.91786311,151.23033026,4.0,-33.91793272,151.23049156,4.0,L4,11783,f8:c2:88:bd:f1:de,08:cc:68:b4:bf:fe,10.249.53.116,10.249.53.116
1507691566420,-33.91793272,151.23049156,4.0,-33.91795008,151.23053842,3.0,L4,2876,08:cc:68:b4:bf:fe,08:cc:68:b4:bf:fe,10.249.53.116,10.249.53.116
1507691603325,-33.91799848,151.2308312,3.0,-33.91799848,151.2308312,3.0,L4,1548,08:cc:68:b4:bf:fe,08:cc:68:b4:7b:ea,10.249.53.116,10.249.53.116
1507691612854,-33.9179969,151.23083145,4.0,-33.91799676,151.23083187,3.0,L4,6067,08:cc:68:b4:7b:ea,08:cc:68:b4:7b:ea,10.249.53.116,10.249.53.116
1507691625520,-33.91799225,151.23082583,4.0,-33.91799225,151.23082583,4.0,L4,1657,08:cc:68:b4:7b:ea,08:cc:68:b4:7b:ea,10.249.53.116,10.249.53.116
1507691640887,-33.91798643,151.23082761,3.0,-33.91798604,151.23082798,3.0,L4,1624,08:cc:68:b4:7b:ea,08:cc:68:b4:7b:ea,10.249.53.116,10.249.53.116
1507691746973,-33.91798316,151.23081387,3.0,-33.91798324,151.23081421,3.0,L4,2005,08:cc:68:b4:7b:ea,08:cc:68:b4:7b:ea,10.249.53.116,10.249.53.116
1507691808752,-33.9180036,151.23078515,3.0,-33.91800761,151.23079117,3.0,L4,2020,08:cc:68:b4:7b:ea,08:cc:68:b4:7b:ea,10.249.53.116,10.249.53.116
1507691951292,-33.91800629,151.23082043,3.0,-33.91800629,151.23082043,3.0,L4,1412,08:cc:68:b4:7b:ea,08:cc:68:b5:30:9e,10.249.53.116,10.249.53.116
1507691994391,-33.91804838,151.23099149,4.0,-33.91805525,151.23099469,4.0,L4,1516,08:cc:68:b5:30:9e,08:cc:68:b5:30:9e,10.249.53.116,10.249.53.116
1507692054249,-33.91855543,151.23101853,5.0,-33.91865609,151.23095459,4.0,L4,9907,08:cc:68:b5:30:9e,08:cc:68:b5:86:8e,10.249.53.116,10.249.53.116
1507692062170,-33.91870215,151.23090607,4.0,-33.91869133,151.23087075,4.0,L4,2246,08:cc:68:b5:86:8e,08:cc:68:b5:86:8e,10.249.53.116,10.249.53.116
1507692069539,-33.91875761,151.23084828,4.0,-33.91875761,151.23084828,4.0,L4,1736,08:cc:68:b5:86:8e,08:cc:68:b5:86:8e,10.249.53.116,10.249.53.116
1507692082563,-33.91889457,151.23078044,5.0,-33.91892598,151.23079851,5.0,L4,2500,08:cc:68:b5:86:8e,08:cc:68:b5:86:8e,10.249.53.116,10.249.53.116
1507692103327,-33.9189469,151.23079551,5.0,-33.91914541,151.23084794,3.0,L4,18446,08:cc:68:b5:86:8e,54:78:1a:bf:77:36,10.249.53.116,10.249.53.116
1507692134041,-33.91940859,151.23067272,4.0,-33.91946141,151.23064582,4.0,L3,7575,54:78:1a:bf:77:36,1c:e6:c7:5b:15:3e,10.249.53.116,10.249.53.116
1507692135039,-33.91916275,151.23084386,3.0,-33.91946141,151.23064582,4.0,L4,30628,1c:e6:c7:5b:15:3e,1c:e6:c7:5b:15:3e,10.249.53.116,10.249.53.116
