time,lat,long,accuracy,lat2,long2,accuracy2,type_of_disconnect,time_taken_to_regain,prev_bssid,new_bssid,prev_ip,new_ip
1507691635173,-33.917919,151.2306674,23.39,-33.917919,151.2306674,23.39,L4,16878,08:cc:68:b5:f4:61,08:cc:68:b5:db:91,10.248.63.35,10.248.63.35
1507691669195,-33.9178841,151.2308837,22.012,-33.9178841,151.2308837,22.012,L4,12876,08:cc:68:b5:db:91,08:cc:68:b5:db:91,10.248.63.35,10.248.63.35
1507691673101,-33.9178841,151.2308837,22.039,-33.9178841,151.2308837,22.039,L4,1823,08:cc:68:b5:db:91,08:cc:68:b5:db:91,10.248.63.35,10.248.63.35
1507691712379,-33.9178983,151.230861,23.947,-33.9178983,151.230861,23.947,L4,1796,08:cc:68:b5:db:91,1c:e6:c7:0d:5c:a1,10.248.63.35,10.248.63.35
1507691716461,-33.9178983,151.230861,23.947,-33.9178983,151.230861,23.947,L4,1708,1c:e6:c7:0d:5c:a1,1c:e6:c7:0d:5c:a1,10.248.63.35,10.248.63.35
1507691750162,-33.9178983,151.230861,23.947,-33.9178854,151.2308496,23.946,L4,2109,1c:e6:c7:0d:5c:a1,08:cc:68:b5:db:91,10.248.63.35,10.248.63.35
1507691786039,-33.9178854,151.2308496,23.946,-33.9178854,151.2308496,23.946,L4,26328,08:cc:68:b5:db:91,08:cc:68:b5:db:91,10.248.63.35,10.248.63.35
1507691810942,-33.9178983,151.230861,22.847,-33.9178983,151.230861,22.847,L4,5002,08:cc:68:b5:db:91,08:cc:68:b5:30:91,10.248.63.35,10.248.63.35
1507691833996,-33.9178841,151.2308837,22.05,-33.9178841,151.2308837,22.05,L4,1963,08:cc:68:b5:30:91,08:cc:68:b5:bd:f1,10.248.63.35,10.248.63.35
1507691850856,-33.9178841,151.2308837,22.05,-33.9178841,151.2308837,22.05,L4,2154,08:cc:68:b5:bd:f1,1c:e6:c7:0d:5c:a1,10.248.63.35,10.248.63.35
1507691859832,-33.9178841,151.2308837,23.564,-33.9178841,151.2308837,23.564,L4,4643,1c:e6:c7:0d:5c:a1,1c:e6:c7:0d:5c:a1,10.248.63.35,10.248.63.35
1507692150497,-33.9187289,151.2309065,50.0,-33.9187289,151.2309065,50.0,L3,34,08:cc:68:b5:86:81,1c:e6:c7:5b:15:31,10.248.63.35,10.248.63.35
1507692330563,-33.9197,151.2295403,22.115,-33.9197,151.2295403,22.115,L3,28,08:cc:68:b4:c0:71,1c:e6:c7:f0:25:41,10.248.63.35,10.248.63.35
1507692428244,-33.9197185,151.2299274,31.109,-33.9197185,151.2299274,31.109,L3,38,f0:9e:63:14:a0:e1,1c:e6:c7:5b:15:31,10.248.63.35,10.248.63.35
1507692702925,-33.9177614,151.2300868,22.405,-33.9177614,151.2300868,22.405,L3,24,1c:e6:c7:0d:5c:a1,08:cc:68:b5:98:a1,10.248.63.35,10.248.63.35
1507693412616,-33.9173612,151.2311885,56.1,-33.9173612,151.2311885,56.1,L3,27,08:cc:68:b5:c0:31,08:cc:68:b5:f1:01,10.248.63.35,10.248.63.35
1507693777539,-33.9158863,151.2284474,21.601,-33.9158863,151.2284474,21.601,L3,28,f8:c2:88:c1:24:71,08:cc:68:b4:8e:10,10.248.63.35,10.248.63.35
1507693956627,-33.9160282,151.2266486,22.473,-33.9160282,151.2266486,22.473,L3,26,08:cc:68:b4:8e:10,58:97:1e:56:48:90,10.248.63.35,10.248.63.35
1507694532305,-33.9185999,151.2267852,43.243,-33.9185999,151.2267852,43.243,L3,36,d0:72:dc:53:5e:a0,08:cc:68:b5:c7:e1,10.248.63.35,10.248.63.35
1507694882918,-33.9166568,151.2288458,21.55,-33.9166568,151.2288458,21.55,L3,36,dc:a5:f4:9d:0c:41,08:cc:68:b4:b6:e0,10.248.63.35,10.248.63.35
