time,lat,long,accuracy,num_uniwide_aps,strength,protocol,speed,freq,bssid,ip
1507691342387,-33.9170774,151.2279464,21.597,8,-81,n (MIMO-OFDM),65,2.0,84:78:ac:c0:52:a0,10.248.63.35
1507691345954,-33.9171315,151.2279237,22.049,8,-81,n (MIMO-OFDM),65,2.0,84:78:ac:c0:52:a0,10.248.63.35
1507691364848,-33.9172577,151.2281058,21.298,4,-72,n (MIMO-OFDM),58,2.0,d0:72:dc:53:63:f0,10.248.63.35
1507691392028,-33.9173634,151.2281286,23.486,6,-74,g (OFDM),39,2.0,08:cc:68:b4:8d:71,10.248.63.35
1507691418017,-33.9175507,151.2286295,21.289,14,-76,g (OFDM),39,2.0,08:cc:68:b4:9e:31,10.248.63.35
1507691422890,-33.9175024,151.2286751,23.353,15,-71,n (MIMO-OFDM),58,2.0,08:cc:68:b4:9e:31,10.248.63.35
1507691447593,-33.9176827,151.2288345,21.741,11,-76,g (OFDM),39,2.0,08:cc:68:b4:9e:31,10.248.63.35
1507691463819,-33.917575,151.2290394,21.338,8,-61,g (OFDM),39,2.0,08:cc:68:b4:9e:31,10.248.63.35
1507691494094,-33.9175756,151.2291988,21.67,8,-69,n (MIMO-OFDM),65,2.0,08:cc:68:b5:db:b1,10.248.63.35
1507691506390,-33.9176772,151.2296769,21.723,9,-76,g (OFDM),52,2.0,1c:e6:c7:e0:1a:21,10.248.63.35
1507691550909,-33.9177351,151.2299046,21.663,13,-80,g (OFDM),26,2.0,84:78:ac:98:48:41,10.248.63.35
1507691553892,-33.9177877,151.2302689,22.544,14,-69,n (MIMO-OFDM),58,2.0,84:78:ac:98:48:41,10.248.63.35
1507691565877,-33.9178167,151.2303828,21.309,11,-76,g (OFDM),52,2.0,84:78:ac:98:48:41,10.248.63.35
1507691587439,-33.9178488,151.2305877,21.315,15,-74,n (MIMO-OFDM),65,2.0,1c:e6:c7:0d:5c:a1,10.248.63.35
1507691972832,-33.917937,151.2308951,21.069,11,-65,g (OFDM),39,2.0,54:78:1a:bf:63:d1,10.248.63.35
1507691976162,-33.9179441,151.2308837,21.283,9,-69,n (MIMO-OFDM),65,2.0,54:78:1a:bf:63:d1,10.248.63.35
1507691993926,-33.9180064,151.2311684,22.149,9,-78,n (MIMO-OFDM),58,2.0,1c:e6:c7:0d:5c:a1,10.248.63.35
1507692015911,-33.9180787,151.2310203,21.868,6,-84,g (OFDM),19,2.0,1c:e6:c7:0d:5c:a1,10.248.63.35
1507692033795,-33.9184183,151.2310203,21.727,5,-84,g (OFDM),19,2.0,1c:e6:c7:0d:5c:a1,10.248.63.35
1507692053906,-33.9187005,151.230952,21.058,6,-63,g (OFDM),19,2.0,08:cc:68:b5:86:81,10.248.63.35
1507692076011,-33.9187347,151.2309293,21.315,4,-68,g (OFDM),39,2.0,08:cc:68:b5:86:81,10.248.63.35
1507692155092,-33.9187289,151.2309065,50.0,4,-72,n (MIMO-OFDM),65,2.0,08:cc:68:b4:c0:71,10.248.63.35
1507692155885,-33.9196898,151.2306788,36.341,4,-72,n (MIMO-OFDM),65,2.0,08:cc:68:b4:c0:71,10.248.63.35
1507692176212,-33.9198136,151.2305763,22.155,1,-81,g (OFDM),39,2.0,08:cc:68:b4:c0:71,10.248.63.35
